"RefDes";"Value";"Name";"Manufacturer";"Quantity";"Description"
"C1";"100nF";"CAP_0805";"";"1";""
"C2";"82uf";"63ZLJ82M8X11.5";"Rubycon";"1";""
"C3, C4";"1uF";"CAP_0603";"";"2";""
"C5";"22uF";"CAP_0805";"";"1";""
"C6";"10uF";"CAP_0805";"";"1";""
"C7, C8";"0.1uF";"CAP_0805";"";"2";""
"C9";"0.1uF";"CAP_0603";"";"1";""
"C10";"0.022uF";"CAP_0603";"";"1";""
"D1";"550mV / 2A";"DIODE_0805";"";"1";""
"D2";"26V";"SMBJ26A";"Littelfuse";"1";""
"D3, D4";"";"SMD_LED";"2099245";"2";"LED"
"F1";"0157004.DR";"FUSE";"Littelfuse";"1";"Fuse"
"J1, J3";"";"Screw PCB 2-way";"Multicomp";"2";""
"J2, J5";"";"Screw PCB 4-way";"Multicomp";"2";""
"J4";"";"Screw PCB 6-way";"Multicomp";"1";""
"L1";"22uH";"IND_0805";"";"1";""
"MCU1";"";"Teensy 3.2";"PJRC";"1";""
"R1";"120";"RES_0805";"";"1";""
"R2, R3, R5, R11, R17, R18, R19, R20";"10K";"RES_0805";"";"8";""
"R6";"111k";"RES_0805";"";"1";""
"R7, R9, R21, R23, R25, R27";"20K";"RES_0805";"";"6";""
"R8";"20k";"RES_0805";"";"1";""
"R10, R16";"100";"RES_0805";"";"2";""
"R12, R14, R15";"0";"RES_0805";"";"3";""
"R13";"1.18K";"RES_0805";"";"1";""
"R22, R24, R26, R28";"3.15K";"RES_0805";"";"4";""
"U1";"";"LMR14010ADDC";"Texas Instruments";"1";""
"U2";"";"Max485";"";"1";""
"U3";"";"DRV8876";"Texas Instruments";"1";""
"";"";"";"";"52";""
